Country;Currency
United Arab Emirates;AEDUSD=X
Afghanistan;AFNUSD=X
Albania;ALLUSD=X
Armenia;AMDUSD=X
Artsakh;AMDUSD=X
Curaçao;ANGUSD=X
Sint Maarten;ANGUSD=X
Angola;AOAUSD=X
Argentina;ARSUSD=X
Australia;AUDUSD=X
Kiribati;AUDUSD=X
Nauru;AUDUSD=X
Tuvalu;AUDUSD=X
Aruba;AWGUSD=X
Azerbaijan;AZNUSD=X
Bosnia and Herzegovina;BAMUSD=X
Barbados;BBDUSD=X
Bangladesh;BDTUSD=X
Bulgaria;BGNUSD=X
Bahrain;BHDUSD=X
Burundi;BIFUSD=X
Bermuda;BMDUSD=X
Brunei;BNDUSD=X
Singapore;BNDUSD=X
Bolivia;BOBUSD=X
Brazil;BRLUSD=X
Bahamas;BSDUSD=X
Bhutan;BTNUSD=X
Botswana;BWPUSD=X
Belarus;BYNUSD=X
Belize;BZDUSD=X
Canada;CADUSD=X
Congo;CDFUSD=X
Liechtenstein;CHFUSD=X
Switzerland;CHFUSD=X
Cook Islands;CKDUSD=X
Chile;CLPUSD=X
China;CNYUSD=X
Colombia;COPUSD=X
Costa Rica;CRCUSD=X
Cuba;CUCUSD=X
Cuba;CUPUSD=X
Cape Verde;CVEUSD=X
Czech Republic;CZKUSD=X
Djibouti;DJFUSD=X
Denmark;DKKUSD=X
Faroe Islands;DKKUSD=X
Dominican Republic;DOPUSD=X
Algeria;DZDUSD=X
Sahrawi Republic;DZDUSD=X
Egypt;EGPUSD=X
Eritrea;ERNUSD=X
Ethiopia;ETBUSD=X
Akrotiri and Dhekelia;EURUSD=X
Andorra;EURUSD=X
Austria;EURUSD=X
Belgium;EURUSD=X
Cyprus;EURUSD=X
Estonia;EURUSD=X
Finland;EURUSD=X
France;EURUSD=X
Germany;EURUSD=X
Greece;EURUSD=X
Ireland;EURUSD=X
Italy;EURUSD=X
Kosovo;EURUSD=X
Latvia;EURUSD=X
Lithuania;EURUSD=X
Luxembourg;EURUSD=X
Malta;EURUSD=X
Monaco;EURUSD=X
Montenegro;EURUSD=X
Netherlands;EURUSD=X
Portugal;EURUSD=X
San Marino;EURUSD=X
Slovakia;EURUSD=X
Slovenia;EURUSD=X
Spain;EURUSD=X
Vatican City;EURUSD=X
Fiji;FJDUSD=X
Falkland Islands;FKPUSD=X
Faroe Islands;FOKUSD=X
Alderney;GBPUSD=X
Guernsey;GBPUSD=X
Isle of Man;GBPUSD=X
Jersey;GBPUSD=X
United Kingdom;GBPUSD=X
Georgia;GELUSD=X
Alderney;GGPUSD=X
Guernsey;GGPUSD=X
Ghana;GHSUSD=X
Gibraltar;GIPUSD=X
Gambia;GMDUSD=X
Guinea;GNFUSD=X
Guatemala;GTQUSD=X
Guyana;GYDUSD=X
Hong Kong;HKDUSD=X
Honduras;HNLUSD=X
Croatia;HRKUSD=X
Haiti;HTGUSD=X
Hungary;HUFUSD=X
Indonesia;IDRUSD=X
Israel;ILSUSD=X
Palestine;ILSUSD=X
Isle of Man;IMPUSD=X
Bhutan;INRUSD=X
India;INRUSD=X
Iraq;IQDUSD=X
Iran;IRRUSD=X
Iceland;ISKUSD=X
Jersey;JEPUSD=X
Jamaica;JMDUSD=X
Jordan;JODUSD=X
Palestine;JODUSD=X
Japan;JPYUSD=X
Kenya;KESUSD=X
Kyrgyzstan;KGSUSD=X
Cambodia;KHRUSD=X
Kiribati;KIDUSD=X
Comoros;KMFUSD=X
North Korea;KPWUSD=X
South Korea;KRWUSD=X
Kuwait;KWDUSD=X
Cayman Islands;KYDUSD=X
Kazakhstan;KZTUSD=X
Laos;LAKUSD=X
Lebanon;LBPUSD=X
Sri Lanka;LKRUSD=X
Liberia;LRDUSD=X
Lesotho;LSLUSD=X
Libya;LYDUSD=X
Morocco;MADUSD=X
Sahrawi Republic;MADUSD=X
Moldova;MDLUSD=X
Madagascar;MGAUSD=X
North Macedonia;MKDUSD=X
Myanmar;MMKUSD=X
Mongolia;MNTUSD=X
Macau;MOPUSD=X
Mauritania;MRUUSD=X
Sahrawi Republic;MRUUSD=X
Mauritius;MURUSD=X
Maldives;MVRUSD=X
Malawi;MWKUSD=X
Mexico;MXNUSD=X
Malaysia;MYRUSD=X
Mozambique;MZNUSD=X
Namibia;NADUSD=X
Nigeria;NGNUSD=X
Nicaragua;NIOUSD=X
Norway;NOKUSD=X
Nepal;NPRUSD=X
Cook Islands;NZDUSD=X
New Zealand;NZDUSD=X
Niue;NZDUSD=X
Pitcairn Islands;NZDUSD=X
Oman;OMRUSD=X
Panama;PABUSD=X
Peru;PENUSD=X
Papua New Guinea;PGKUSD=X
Philippines;PHPUSD=X
Pakistan;PKRUSD=X
Poland;PLNUSD=X
Pitcairn Islands;PNDUSD=X
Transnistria;PRBUSD=X
Paraguay;PYGUSD=X
Qatar;QARUSD=X
Romania;RONUSD=X
Serbia;RSDUSD=X
Abkhazia;RUBUSD=X
Russia;RUBUSD=X
South Ossetia;RUBUSD=X
Ukraine;RUBUSD=X
Rwanda;RWFUSD=X
Saudi Arabia;SARUSD=X
Solomon Islands;SBDUSD=X
Seychelles;SCRUSD=X
Sudan;SDGUSD=X
Sweden;SEKUSD=X
Brunei;SGDUSD=X
Singapore;SGDUSD=X
United Kingdom Ascension Island;SHPUSD=X
Saint Helena;SHPUSD=X
Sierra Leone;SLLUSD=X
Somaliland;SLSUSD=X
Somalia;SOSUSD=X
Suriname;SRDUSD=X
South Sudan;SSPUSD=X
São Tomé and Príncipe;STNUSD=X
Syria;SYPUSD=X
Eswatini;SZLUSD=X
Thailand;THBUSD=X
Tajikistan;TJSUSD=X
Turkmenistan;TMTUSD=X
Tunisia;TNDUSD=X
Tonga;TOPUSD=X
Northern Cyprus;TRYUSD=X
Turkey;TRYUSD=X
Trinidad and Tobago;TTDUSD=X
Tuvalu;TVDUSD=X
Taiwan;TWDUSD=X
Tanzania;TZSUSD=X
Ukraine;UAHUSD=X
Uganda;UGXUSD=X
Bonaire;USDUSD=X
British Indian Ocean Territory;USDUSD=X
British Virgin Islands;USDUSD=X
East Timor;USDUSD=X
Ecuador;USDUSD=X
El Salvador;USDUSD=X
Marshall Islands;USDUSD=X
Micronesia;USDUSD=X
Palau;USDUSD=X
Panama;USDUSD=X
Saba;USDUSD=X
Sint Eustatius;USDUSD=X
Turks and Caicos Islands;USDUSD=X
United States;USDUSD=X
Uruguay;UYUUSD=X
Uzbekistan;UZSUSD=X
Venezuela;VESUSD=X
Vietnam;VNDUSD=X
Vanuatu;VUVUSD=X
Samoa;WSTUSD=X
Cameroon;XAFUSD=X
Central African Republic;XAFUSD=X
Chad;XAFUSD=X
Congo;XAFUSD=X
Equatorial Guinea;XAFUSD=X
Gabon;XAFUSD=X
Anguilla;XCDUSD=X
Antigua and Barbuda;XCDUSD=X
Dominica;XCDUSD=X
Grenada;XCDUSD=X
Montserrat;XCDUSD=X
Saint Kitts and Nevis;XCDUSD=X
Saint Lucia;XCDUSD=X
Saint Vincent and the Grenadines;XCDUSD=X
Benin;XOFUSD=X
Burkina Faso;XOFUSD=X
Côte d'Ivoire;XOFUSD=X
Guinea-Bissau;XOFUSD=X
Mali;XOFUSD=X
Niger;XOFUSD=X
Senegal;XOFUSD=X
Togo;XOFUSD=X
French Polynesia;XPFUSD=X
New Caledonia;XPFUSD=X
Wallis and Futuna;XPFUSD=X
Yemen;YERUSD=X
Eswatini;ZARUSD=X
Lesotho;ZARUSD=X
Namibia;ZARUSD=X
South Africa;ZARUSD=X
Zambia;ZMWUSD=X
